Oenocarpus mapora,Arecaceae,1780,1734,1870,1947,1995,2023,2049,2080
Oreopanax capitatus,Araliaceae,0,0,0,0,0,0,1,1
Ormosia amazonica,Fabaceae-papilionoideae,1,2,2,2,2,2,1,1
Ormosia coccinea,Fabaceae-papilionoideae,53,61,74,84,96,114,120,124
Ormosia macrocalyx,Fabaceae-papilionoideae,73,88,114,123,135,145,150,154
Ouratea lucens,Ochnaceae,1123,1263,1361,1339,1333,1390,1402,1401
Pachira quinata,Malvaceae,2,1,1,1,1,1,1,1
Pachira sessilis,Malvaceae,25,25,25,23,21,19,19,19
Palicourea guianensis,Rubiaceae,376,676,1498,1058,869,857,1120,1414
Pavonia dasypetala,Malvaceae,1,1,0,0,0,0,0,0
Pentagonia macrophylla,Rubiaceae,568,552,544,434,363,343,342,348
Perebea xanthochyma,Moraceae,269,276,289,270,253,238,229,224
Picramnia latifolia,Picramniaceae,1170,1207,1231,1168,1090,1125,1129,1204
Piper aequale,Piperaceae,220,170,115,62,35,33,30,39
Piper arboreum,Piperaceae,107,87,69,43,25,22,25,26
Piper colonense,Piperaceae,120,67,56,37,22,17,10,10
Piper cordulatum,Piperaceae,3144,3900,2872,787,159,96,87,99
Piper imperialis,Piperaceae,9,3,3,1,1,0,0,4
Piper longispicum,Piperaceae,0,0,0,0,0,0,0,1
Piper perlasense,Piperaceae,110,125,100,67,41,33,21,19
Piper reticulatum,Piperaceae,181,172,161,139,126,132,141,143
Piper schiedeanum,Piperaceae,14,12,8,2,4,5,4,4
Platymiscium pinnatum,Fabaceae-papilionoideae,184,177,176,183,163,161,177,196
Platypodium elegans,Fabaceae-papilionoideae,174,162,167,145,126,122,109,101
Posoqueria latifolia,Rubiaceae,76,81,78,82,73,72,75,76
Poulsenia armata,Moraceae,3422,2768,2228,1794,1405,1165,996,875
Pourouma bicolor,Urticaceae,40,43,43,48,59,104,133,165
Pouteria fossicola,Sapotaceae,3,3,3,3,3,3,3,4
Pouteria reticulata,Sapotaceae,1653,1797,1994,1894,1644,1472,1328,1212
Pouteria stipitata,Sapotaceae,65,65,69,73,72,69,64,57
Prioria copaifera,Fabaceae-caesalpinioideae,1353,1420,1461,1446,1410,1377,1353,1319
Protium confusum,Burseraceae,1,2,4,4,4,8,11,16
Protium costaricense,Burseraceae,919,903,937,879,804,742,749,779
Protium panamense,Burseraceae,2743,2916,3181,3139,3033,2986,3121,3228
Protium tenuifolium,Burseraceae,2601,2920,3217,3148,3038,3027,3087,3233
Pseudobombax septenatum,Malvaceae,23,18,19,17,17,35,44,33
Psidium friedrichsthalianum,Myrtaceae,40,45,50,53,56,58,59,57
Psychotria acuminata,Rubiaceae,8,12,18,13,12,8,14,24
Psychotria brachiata,Rubiaceae,0,0,1,1,0,1,3,1
Psychotria chagrensis,Rubiaceae,14,19,18,14,7,15,17,24
Psychotria cyanococca,Rubiaceae,4,4,5,4,5,5,5,5
Psychotria deflexa,Rubiaceae,88,85,77,41,20,16,39,71
Psychotria graciliflora,Rubiaceae,10,14,47,59,54,54,73,82
Psychotria grandis,Rubiaceae,104,102,94,71,51,43,58,50
Psychotria hoffmannseggiana,Rubiaceae,5,0,2,0,0,0,1,5
Psychotria horizontalis,Rubiaceae,6162,6624,6408,5273,4220,3352,2641,2007
Psychotria limonensis,Rubiaceae,15,19,30,34,41,75,82,90
Psychotria marginata,Rubiaceae,577,702,761,719,619,655,831,1024
Psychotria psychotriifolia,Rubiaceae,0,0,0,1,1,1,0,0
Psychotria racemosa,Rubiaceae,1,2,3,0,0,2,7,12
Psychotria tenuifolia,Rubiaceae,7,6,6,2,0,2,0,0
Pterocarpus officinalis,Fabaceae-papilionoideae,9,8,3,3,1,1,1,1
Pterocarpus rohrii,Fabaceae-papilionoideae,1574,1708,1884,1811,1663,1562,1407,1189
Quararibea asterolepis,Malvaceae,2395,2429,2439,2371,2280,2206,2226,2317
Quassia amara,Simaroubaceae,159,160,158,148,136,124,119,115
Randia armata,Rubiaceae,1129,1171,1178,1137,1026,976,951,938
Rauvolfia littoralis,Apocynaceae,0,0,0,1,1,1,1,1
Rinorea sylvatica,Violaceae,2579,2687,2784,2669,2522,2537,2549,2576
Rosenbergiodendron formosum,Rubiaceae,4,4,4,4,4,3,1,1
Sapium broadleaf,Euphorbiaceae,3,3,3,3,4,3,3,3
Sapium glandulosum,Euphorbiaceae,48,42,41,34,40,52,40,34
Schefflera morototoni,Araliaceae,1,1,0,0,0,0,0,0
Schizolobium parahyba,Fabaceae-caesalpinioideae,4,4,6,6,6,8,9,9
Senna dariensis,Fabaceae-caesalpinioideae,202,144,120,76,65,134,164,250
Simarouba amara,Simaroubaceae,1237,1261,1329,1262,1254,1502,1598,1868
Siparuna cristata,Siparunaceae,38,35,34,33,31,28,27,26
Siparuna pauciflora,Siparunaceae,431,403,417,369,412,470,482,660
Sloanea terniflora,Elaeocarpaceae,607,615,614,573,532,499,470,451
Socratea exorrhiza,Arecaceae,812,739,690,673,622,540,500,453
Solanum arboreum,Solanaceae,1,1,1,1,1,1,1,0
Solanum asperum,Solanaceae,0,0,4,5,8,7,8,13
Solanum circinatum,Solanaceae,5,4,3,1,0,5,5,28
Solanum hayesii,Solanaceae,125,89,77,42,49,69,68,164
Solanum steyermarkii,Solanaceae,7,6,2,2,2,4,3,3
Sorocea affinis,Moraceae,3301,3457,3445,3241,2936,2665,2405,2226
Spachea membranacea,Malpighiaceae,20,18,16,15,13,13,10,10
Spondias mombin,Anacardiaceae,56,63,100,107,87,103,123,164
Spondias radlkoferi,Anacardiaceae,199,184,228,224,268,276,281,257
Stemmadenia grandiflora,Apocynaceae,1,1,0,0,0,1,1,1
Sterculia apetala,Malvaceae,65,62,71,66,56,51,52,54
Stylogyne turbacensis,Myrsinaceae,717,793,887,871,832,839,834,870
Swartzia simplex,Fabaceae-papilionoideae,4968,5378,5765,5901,6023,6216,6374,6491
Symphonia globulifera,Clusiaceae,189,183,182,170,164,156,157,155
Tabebuia guayacan,Bignoniaceae,76,76,79,81,73,72,66,67
Tabebuia rosea,Bignoniaceae,312,313,336,286,249,239,247,257
Tabernaemontana arborea,Apocynaceae,1297,1378,1517,1606,1588,1679,1818,1881
Tachigali versicolor,Fabaceae-caesalpinioideae,2923,3029,3195,3027,2547,2293,2134,1958
Talisia croatii,Sapindaceae,622,688,769,802,801,851,879,901
Talisia nervosa,Sapindaceae,811,834,837,817,790,773,749,733
Terminalia amazonia,Combretaceae,61,64,63,60,52,48,49,59
Terminalia oblonga,Combretaceae,93,93,101,94,90,86,91,87
Ternstroemia tepezapote,Pentaphylacaceae,1,1,1,1,1,0,0,0
Tetragastris panamensis,Burseraceae,3283,3820,4346,4424,4471,4784,4959,5541
Tetrathylacium johansenii,Salicaceae,10,7,7,7,7,6,5,3
Theobroma cacao,Malvaceae,22,20,21,20,18,18,17,16
Thevetia ahouai,Apocynaceae,105,100,106,98,80,95,93,91
Tocoyena pittieri,Rubiaceae,8,10,9,8,8,8,8,7
Trattinnickia aspera,Burseraceae,113,98,84,68,66,66,79,71
Trema integerrima,Cannabaceae,0,0,1,1,5,12,52,53
Trema micrantha,Cannabaceae,32,23,20,22,27,31,19,7
Trichanthera gigantea,Acanthaceae,12,9,8,11,7,5,4,3
Trichilia pallida,Meliaceae,560,584,618,598,551,508,503,488
Trichilia tuberculata,Meliaceae,12926,13441,13877,13300,12411,11783,11289,10866
