Laetia thamnia,Salicaceae,497,500,515,502,424,385,380,405
Lafoensia punicifolia,Lythraceae,6,5,3,2,1,1,1,0
Leandra dichotoma,Melastomataceae,0,1,1,0,1,1,1,3
Licania hypoleuca,Chrysobalanaceae,101,105,119,124,116,117,131,151
Licania platypus,Chrysobalanaceae,243,284,304,296,274,259,242,232
Lindackeria laurina,Achariaceae,24,19,21,20,15,9,12,5
Lonchocarpus heptaphyllus,Fabaceae-papilionoideae,697,712,769,717,626,555,570,532
Lozania pittieri,Lacistemataceae,15,13,7,4,3,1,1,1
Luehea seemannii,Malvaceae,102,98,132,116,127,106,130,115
Lycianthes maxonii,Solanaceae,1,1,0,0,0,0,0,0
Maclura tinctoria,Moraceae,2,1,0,0,0,0,0,0
Macrocnemum roseum,Rubiaceae,76,80,85,79,66,69,61,65
Malpighia romeroana,Malpighiaceae,51,61,57,50,42,37,37,41
Maquira guianensis,Moraceae,1194,1242,1325,1323,1303,1241,1150,1051
Margaritaria nobilis,Phyllanthaceae,2,3,5,2,1,0,0,0
Marila laxiflora,Clusiaceae,13,16,12,13,14,15,16,20
Maytenus schippii,Celastraceae,68,68,73,73,63,60,52,52
Miconia affinis,Melastomataceae,366,391,428,387,368,382,431,429
Miconia argentea,Melastomataceae,484,626,843,729,525,448,618,578
Miconia dorsiloba,Melastomataceae,0,0,0,0,1,2,2,3
Miconia elata,Melastomataceae,32,28,28,20,16,11,11,9
Miconia hondurensis,Melastomataceae,23,24,31,41,48,52,64,66
Miconia impetiolaris,Melastomataceae,10,9,14,13,14,14,11,11
Miconia nervosa,Melastomataceae,358,293,319,251,293,260,386,409
Miconia prasina,Melastomataceae,0,0,2,2,1,1,4,2
Mosannona garwoodii,Annonaceae,262,305,355,390,420,457,485,522
Mouriri myrtilloides,Melastomataceae,6924,7676,7583,7120,6500,6534,6804,7053
Myrcia gatunensis,Myrtaceae,38,47,52,45,43,45,54,62
Myrospermum frutescens,Fabaceae-papilionoideae,17,13,11,10,8,5,13,8
Nectandra cissiflora,Lauraceae,327,320,289,222,165,148,152,149
Nectandra fuzzy,Lauraceae,8,9,6,3,2,1,0,0
Nectandra lineata,Lauraceae,103,102,102,96,91,105,204,201
Nectandra purpurea,Lauraceae,81,79,83,85,73,66,76,83
Nectandra sp.4_(tiny_leaf),Lauraceae,1,1,0,0,0,0,0,0
Neea amplifolia,Nyctaginaceae,62,71,68,63,64,69,63,54
Ochroma pyramidale,Malvaceae,2,4,1,1,5,2,0,2
Ocotea cernua,Lauraceae,331,317,314,271,199,212,260,306
Ocotea oblonga,Lauraceae,185,157,166,134,109,120,193,240
Ocotea puberula,Lauraceae,259,232,205,150,109,110,142,145
