Swartzia simplex,Fabaceae-papilionoideae,301,291,298,303,300
Symphonia globulifera,Clusiaceae,116,117,120,129,135
Synechanthus warscewiczianus,Arecaceae,444,421,392,377,417
Tabernaemontana arborea,Apocynaceae,24,24,24,21,14
Tachigali versicolor,Fabaceae-caesalpinioideae,530,513,538,517,458
Tapirira guianensis,Anacardiaceae,575,536,537,538,500
Terminalia amazonia,Combretaceae,9,8,8,8,7
Tetrorchidium gorgonae,Euphorbiaceae,18,16,15,11,10
Theobroma bernoullii,Malvaceae,86,80,82,74,59
Thevetia ahouai,Apocynaceae,0,0,0,2,2
Tocoyena pittieri,Rubiaceae,14,12,13,9,4
Tovomita longifolia,Clusiaceae,1179,1161,1176,1101,1075
Tovomita stylosa,Clusiaceae,898,894,905,960,996
Trattinnickia aspera,Burseraceae,84,78,68,47,50
Trichilia tuberculata,Meliaceae,9,9,9,8,7
Trichospermum galeottii,Malvaceae,2,1,1,1,1
Turpinia occidentalis,Tapisciaceae,0,0,0,1,0
Unidentified (sherman),Unknown,1,1,1,0,0
Unidentified species,Unknown,6,1,5,3,0
Unonopsis bullata,Annonaceae,550,539,551,616,613
Unonopsis pittieri,Annonaceae,0,0,0,1,0
Vantanea depleta,Humiriaceae,17,15,15,15,16
Virola elongata,Myristicaceae,212,217,227,244,256
Virola multiflora,Myristicaceae,101,102,105,129,135
Virola sebifera,Myristicaceae,234,247,260,344,361
Virola surinamensis,Myristicaceae,33,33,33,49,50
Vismia baccifera,Clusiaceae,41,39,42,47,48
Vismia macrophylla,Clusiaceae,32,15,13,22,19
Vochysia ferruginea,Vochysiaceae,98,93,91,114,138
Xylopia macrantha,Annonaceae,315,308,316,322,322
Zanthoxylum acuminatum,Rutaceae,1,1,1,1,1
Zanthoxylum panamense,Rutaceae,1,0,0,1,1
