Mnemonic,1,2,3,4,5,6,7,8
sipapa,431,354,316,257,316,367,360,542
sloate,607,595,580,542,493,461,442,410
socrex,812,737,684,673,622,540,500,453
solaar,1,1,NA,NA,NA,NA,NA,NA
solaas,NA,NA,4,5,8,7,8,12
solaha,125,89,77,42,49,69,68,162
solast,7,6,2,2,1,4,3,3
soroaf,3301,3368,3302,3113,2834,2539,2296,2122
spacme,20,18,16,15,13,13,10,10
sponmo,56,60,94,100,84,99,121,163
sponra,199,173,211,215,259,264,270,234
stemgr,1,1,NA,NA,NA,1,NA,1
sterap,65,51,62,58,54,50,52,50
stylst,717,739,756,716,680,691,707,740
swars1,2256,2426,2573,2602,2666,2779,2869,2931
swars2,2711,2828,2868,2880,2890,2932,2917,2955
sympgl,189,179,176,168,160,152,155,150
tab1gu,76,76,76,77,70,71,63,66
tab1ro,312,295,313,267,244,230,234,250
tab2ar,1297,1339,1430,1509,1510,1595,1732,1794
tachve,2923,2978,3094,2947,2485,2232,2084,1906
taline,811,815,798,778,746,721,706,703
talipr,622,639,674,645,634,668,717,739
termam,61,59,58,52,46,46,47,57
termob,93,91,99,93,90,85,91,87
ternte,1,1,1,1,1,NA,NA,NA
tet2pa,3281,3727,4114,4137,4229,4491,4620,5199
tet4jo,10,7,7,7,7,6,5,1
theoca,22,20,21,20,18,18,16,15
thevah,105,95,96,84,74,91,84,82
tocopi,8,10,9,8,8,8,8,7
tratas,113,97,83,68,66,66,79,71
tremin,NA,NA,1,1,5,12,52,51
tremmi,32,23,20,22,27,31,19,6
tri1gi,12,9,8,11,7,5,4,2
tri2pa,560,573,589,567,521,484,475,457
tri2tu,12925,13160,13284,12812,11972,11335,10839,10369
tri4ga,7,4,2,1,5,1,2,4
tripcu,375,346,323,293,258,241,228,227
tropra,314,325,324,313,286,253,228,212
turpoc,153,113,85,79,72,70,90,56
uniden,25,38,48,37,26,NA,NA,NA
unonpi,774,787,790,719,658,621,648,690
urerba,2,5,17,11,16,13,15,17
verbgi,NA,NA,NA,NA,1,1,2,1
virose,2399,2272,2080,1860,1612,1393,1273,1103
virosp,58,53,53,50,47,44,41,34
virosu,306,264,245,225,200,182,177,159
vismba,75,77,80,71,54,41,56,50
vismbi,3,4,3,2,2,4,5,7
vismma,1,NA,NA,1,1,NA,2,NA
vochfe,34,28,28,25,21,27,33,38
xyl1ma,817,918,1045,1132,1219,1414,1658,2089
xyl2ch,1,1,NA,NA,NA,NA,NA,NA
xyl2ol,180,165,145,119,93,65,52,31
zantbe,218,249,233,204,234,193,257,235
zantp1,301,243,233,187,145,181,241,188
zantpr,205,211,169,137,113,90,89,71
zantse,1,1,1,1,1,1,1,NA
zuelgu,40,41,40,43,36,34,29,25
