Inga spectabilis	Fabaceae	(Vahl) Willd.	22	23	23	19	17	19	19	20
Inga thibaudiana	Fabaceae	DC.	61	78	95	116	129	179	231	287
Inga umbellifera	Fabaceae	(Vahl) Steud.	951	1003	1045	953	827	792	764	770
Inga unidentified*	Fabaceae		25	29	34	37	26	0	0	0
Jacaranda copaia	Bignoniaceae	(Aubl.) D.Don	343	320	299	278	264	280	327	307
Jacaratia spinosa	Caricaceae	(Aubl.) A.DC.	0	0	0	0	0	0	0	5
Koanophyllon wetmorei	Asteraceae	(B.L.Rob.) R.M.King & H.Rob.	15	12	12	9	3	0	0	0
Lacistema aggregatum	Lacistemataceae	(P.J.Bergius) Rusby	1560	1669	1699	1632	1405	1275	1261	1352
Lacmellea panamensis	Apocynaceae	(Woodson) Markgr.	92	92	99	103	98	100	102	104
Laetia procera	Salicaceae	(Poepp.) Eichler	24	23	30	27	26	25	28	33
Laetia thamnia	Salicaceae	L.	512	517	540	529	451	411	409	433
Lafoensia punicifolia	Lythraceae	DC.	10	9	8	8	7	6	6	4
Leandra dichotoma	Melastomataceae	(Pav. ex D. Don) Cogn.	0	1	1	0	1	1	1	3
Licania hypoleuca	Chrysobalanaceae	Benth.	120	121	134	138	127	128	141	160
Licania platypus	Chrysobalanaceae	(Hemsl.) Fritsch	252	293	314	306	281	266	250	240
Lindackeria laurina	Achariaceae	C. Presl	110	97	90	84	71	59	53	38
Lonchocarpus heptaphyllus	Fabaceae	(Poir.) DC.	845	850	894	838	737	660	667	631
Pavonia dasypetala	Malvaceae	Turcz.	1	1	0	0	0	0	0	0
Lozania pittieri	Lacistemataceae	(S.F.Blake) L.B.Sm.	18	15	7	4	3	1	1	1
Luehea seemannii	Malvaceae	Triana & Planch.	188	190	225	208	216	191	216	197
Lycianthes maxonii	Solanaceae	Standl.	1	1	0	0	0	0	0	0
Maclura tinctoria	Moraceae	(L.) D.Don ex Steud.	2	2	1	1	1	1	1	1
Macrocnemum roseum	Rubiaceae	(Ruiz & Pav.) Wedd.	100	105	110	104	91	93	86	89
Mosannona garwoodii	Annonaceae	Chatrou & Welzenis	276	320	372	405	437	474	503	540
Malpighia romeroana	Malpighiaceae	Cuatrec.	51	61	57	50	42	37	37	41
Maquira guianensis	Moraceae	Aubl.	1417	1443	1502	1489	1459	1394	1314	1227
Marila laxiflora	Clusiaceae	Rusby	23	27	23	23	23	24	22	25
Margaritaria nobilis	Phyllanthaceae	L.f.	3	4	6	4	3	2	2	2
Maytenus schippii	Celastraceae	Lundell	88	88	94	94	85	80	77	78
Miconia affinis	Melastomataceae	DC.	369	392	436	395	376	388	436	443
Miconia argentea	Melastomataceae	(Sw.) DC.	530	677	900	799	600	519	676	635
Miconia dorsiloba	Melastomataceae	Gleason	0	0	0	0	1	2	2	3
Miconia elata	Melastomataceae	(Sw.) DC.	34	31	30	21	17	12	11	9
Miconia hondurensis	Melastomataceae	Donn. Sm.	30	29	37	48	55	58	70	75
Miconia impetiolaris	Melastomataceae	(Sw.) D. Don ex DC.	10	9	14	13	14	14	11	11
Miconia nervosa	Melastomataceae	(Sm.) Triana	358	293	319	251	293	260	386	409
Miconia prasina	Melastomataceae	(Sw.) DC.	0	0	2	2	2	2	4	4
Mouriri myrtilloides	Melastomataceae	(Sw.) Poir.	6924	7678	7583	7120	6500	6534	6804	7053
Myrcia splendens tip. gatunensis	Myrtaceae	(Sw.) DC.	41	50	57	50	48	46	56	65
Myrospermum frutescens	Fabaceae	Jacq.	26	22	21	17	14	9	17	11
Nectandra cissiflora	Lauraceae	Nees	351	341	316	255	197	179	181	172
Nectandra lineata	Lauraceae	(Kunth) Rohwer	114	111	115	106	102	115	216	218
Damburneya umbrosa	Lauraceae	(Kunth) Trofimov	85	80	85	88	77	71	79	88
Nectandra fuzzy	Lauraceae		9	9	6	3	3	2	1	1
Nectandra sp.4_(tiny_leaf)	Lauraceae		1	1	0	0	0	0	0	0
Neea amplifolia	Nyctaginaceae	Donn.Sm.	62	71	68	63	64	69	63	54
Ochroma pyramidale	Malvaceae	(Cav. ex Lam.) Urb.	4	8	6	6	9	10	11	7
Ocotea cernua	Lauraceae	(Nees) Mez	355	347	342	302	225	238	289	341
Ocotea oblonga	Lauraceae	(Meisn.) Mez	217	187	192	169	147	162	240	288
Ocotea puberula	Lauraceae	(Rich.) Nees	270	244	223	173	133	131	161	166
Ocotea whitei	Lauraceae	Woodson	1118	926	754	565	428	374	389	391
Oenocarpus mapora	Arecaceae	H.Karst.	1780	1701	1788	1847	1830	1787	1802	1788
Trophis caucana	Moraceae	(Pittier) C.C. Berg	441	374	278	213	175	149	136	124
Oreopanax capitatus	Araliaceae	(Jacq.) Decne. & Planch.	0	0	0	0	0	0	1	0
Ormosia amazonica	Fabaceae	Ducke	1	2	2	2	1	1	1	1
Ormosia coccinea	Fabaceae	(Aubl.) Jacks.	53	56	70	80	88	106	108	113
Ormosia macrocalyx	Fabaceae	Ducke	73	81	108	115	110	111	106	109
Ouratea lucens	Ochnaceae	(Kunth) Engl.	1123	1239	1266	1205	1192	1227	1207	1200
Palicourea guianensis	Rubiaceae	Aubl.	376	661	1474	1053	865	851	1119	1321
Pentagonia macrophylla	Rubiaceae	Benth.	568	512	452	373	307	299	306	313
Perebea xanthochyma	Moraceae	H.Karst.	269	269	274	260	243	235	228	221
Cinnamomum triplinerve	Lauraceae	(Ruiz & Pav.) Kosterm.	89	84	87	75	61	59	75	71
Picramnia latifolia	Picramniaceae	Tul.	1170	1177	1178	1116	1048	1059	1078	1133
Piper arboreum	Piperaceae	Aubl.	107	83	60	38	22	19	24	24
Piper aequale	Piperaceae	Vahl	220	159	84	52	26	27	26	32
Piper schiedeanum	Piperaceae	Steud.	12	10	4	1	4	5	3	2
Piper cordulatum	Piperaceae	C. DC.	3143	3706	1772	394	92	49	58	68
Piper colonense	Piperaceae	C.DC.	120	65	53	29	21	16	9	8
Piper imperiale	Piperaceae	(Miq.) C.DC.	9	3	3	1	1	0	0	4
Piper longispicum	Piperaceae	C.DC.	0	0	0	0	0	0	0	1
Piper perlasense	Piperaceae	Yunck.	110	118	68	39	25	17	11	12
Piper reticulatum	Piperaceae	L.	181	170	150	132	123	131	136	135
Abarema macradenia	Fabaceae	(Pittier) Barneby & J.W. Grimes	10	10	11	12	12	16	32	43
Cojoba rufescens	Fabaceae	(Benth.) Britton & Rose	2	2	2	2	2	2	2	2
Platymiscium pinnatum	Fabaceae	(Jacq.) Dugand	184	169	160	171	147	148	163	178
Platypodium elegans	Fabaceae	Vogel	174	161	163	140	122	122	109	101
Pochota quinata	Bombacaceae		2	1	1	1	1	1	1	1
Pachira sessilis	Malvaceae	Benth.	25	24	23	21	17	15	19	18
Posoqueria latifolia	Rubiaceae	(Rudge) Schult.	76	80	77	79	72	71	73	75
Poulsenia armata	Moraceae	(Miq.) Standl.	3422	2679	2120	1774	1403	1162	993	855
Pourouma bicolor	Urticaceae	Mart.	40	43	43	48	59	104	130	161
Pouteria fossicola	Sapotaceae	Cronquist	3	3	3	3	3	3	3	4
Pouteria reticulata	Sapotaceae	(Engl.) Eyma	1652	1720	1767	1628	1403	1207	1087	1013
Pouteria stipitata	Sapotaceae	Cronquist	65	65	66	71	72	65	60	56
Prioria copaifera	Fabaceae	Griseb.	1353	1405	1439	1417	1380	1348	1327	1273
Protium costaricense	Burseraceae	(Rose) Engl.	919	865	876	820	760	699	698	738
Protium panamense	Burseraceae	(Rose) I.M.Johnst.	2743	2872	3060	3013	2906	2857	3022	3114
Protium confusum	Burseraceae	(Rose) Pittier	1	2	4	3	4	8	11	15
Protium tenuifolium subsp. sessiliflorum	Burseraceae	(Rose) D.M. Porter	2601	2840	3015	2934	2845	2827	2897	3063
Pseudobombax septenatum	Malvaceae	(Jacq.) Dugand	23	16	19	17	16	35	42	32
Psidium friedrichsthalianum	Myrtaceae	(O.Berg) Nied.	40	43	47	53	52	56	57	56
Palicourea acuminata	Rubiaceae	(Benth.) Borhidi	8	11	16	13	12	8	14	20
Palicourea brachiata	Rubiaceae	(Sw.) Borhidi	0	0	1	1	0	1	3	0
Psychotria chagrensis	Rubiaceae	Standl.	13	17	15	9	6	13	16	22
Palicourea deflexa	Rubiaceae	(DC.) Borhidi	88	77	60	30	15	13	38	69
Palicourea hoffmannseggiana	Rubiaceae	(Willd. ex Roem. & Schult.) Borhidi	5	1	2	0	0	0	1	5
Psychotria graciliflora	Rubiaceae	Benth.	10	14	44	57	52	53	65	66
Psychotria tenuifolia	Rubiaceae	Sw.	7	5	4	1	0	2	0	0
Psychotria grandis	Rubiaceae	Sw.	104	97	81	65	46	38	57	45
Psychotria horizontalis	Rubiaceae	Sw.	6160	6434	5902	4856	3936	3120	2455	1742
Psychotria limonensis	Rubiaceae	K.Krause	15	17	19	22	23	65	70	58
Psychotria marginata	Rubiaceae	Sw.	577	686	690	629	553	579	758	922
Palicourea cyanococca	Rubiaceae	(Seem. ex Dombrain) Borhidi	4	3	3	3	3	5	4	4
Psychotria psychotriifolia	Rubiaceae	(Seem.) Standl.	0	0	0	1	1	1	0	0
Palicourea racemosa	Rubiaceae	(Aubl.) Borhidi	1	2	2	0	0	2	7	10
Pterocarpus officinalis	Fabaceae	Jacq.	9	8	3	3	1	1	1	1
Pterocarpus hayesii	Fabaceae	Hemsl.	1574	1626	1702	1606	1463	1379	1224	1055
Quararibea asterolepis	Malvaceae	Pittier	2395	2382	2349	2292	2202	2138	2170	2244
Quassia amara	Simaroubaceae	L.	159	155	151	145	133	120	116	112
Randia armata	Rubiaceae	(Sw.) DC.	1128	1155	1143	1108	1003	958	937	922
Rosenbergiodendron formosum	Rubiaceae	(Jacq.) Fagerl.	4	4	4	4	4	3	1	1
Rauvolfia littoralis	Apocynaceae	Rusby	0	0	0	1	1	1	1	1
Rinorea sylvatica	Violaceae	(Seem.) Kuntze	2577	2619	2598	2423	2314	2276	2265	2234
Sapium glandulosum	Euphorbiaceae	(L.) Morong	48	42	41	34	40	52	40	33
Sapium broadleaf	Euphorbiaceae		3	3	3	3	4	3	3	3
Attalea rostrata	Arecaceae	Oerst.	44	40	36	33	30	34	32	32
Schefflera morototoni	Araliaceae	(Aubl.) Maguire, Steyerm. & Frodin	1	1	0	0	0	0	0	0
Schizolobium parahyba	Fabaceae	(Vell.) S.F. Blake	4	4	6	6	6	8	9	9
Senna dariensis	Fabaceae	(Britton & Rose) H.S. Irwin & Barneby	202	135	113	72	65	134	161	245
Simarouba amara	Simaroubaceae	Aubl.	1237	1248	1289	1238	1230	1478	1575	1824
Siparuna cristata	Siparunaceae	(Poepp. & Endl.) A. DC.	38	34	32	31	30	27	26	25
Siparuna pauciflora	Siparunaceae	(Beurl.) A. DC.	431	354	316	257	316	367	360	542
Sloanea terniflora	Elaeocarpaceae	(Moc. & Sessé ex DC.) Standl.	607	595	580	542	493	461	442	410
Socratea exorrhiza	Arecaceae	(Mart.) H.Wendl.	812	737	684	673	622	540	500	453
Solanum arboreum	Solanaceae	Dunal	1	1	0	0	0	0	0	0
Solanum asperum	Solanaceae	Rich.	0	0	4	5	8	7	8	12
Solanum hayesii	Solanaceae	Fernald	125	89	77	42	49	69	68	162
Solanum lepidotum	Solanaceae	Dunal	7	6	2	2	1	4	3	3
Sorocea affinis	Moraceae	Hemsl.	3301	3368	3302	3113	2834	2539	2296	2122
Spachea membranacea	Malpighiaceae	Cuatrec.	20	18	16	15	13	13	10	10
Spondias mombin	Anacardiaceae	L.	56	60	94	100	84	99	121	163
Spondias radlkoferi	Anacardiaceae	Donn.Sm.	199	173	211	215	259	264	270	234
Tabernaemontana grandiflora	Apocynaceae	Jacq.	1	1	0	0	0	1	0	1
Sterculia apetala	Malvaceae	(Jacq.) H.Karst.	65	51	62	58	54	50	52	50
Stylogyne turbacensis	Myrsinaceae	(Kunth) Mez	717	739	756	716	680	691	707	740
Swartzia simplex var. grandiflora	Fabaceae	(Raddi) R.S. Cowan	2256	2426	2573	2602	2666	2779	2869	2931
Swartzia simplex var. continentalis	Fabaceae	Urb.	2711	2828	2868	2880	2890	2932	2917	2955
Symphonia globulifera	Clusiaceae	L.f.	189	179	176	168	160	152	155	150
Handroanthus guayacan	Bignoniaceae	(Seem.) S.O.Grose	76	76	76	77	70	71	63	66
Tabebuia rosea	Bignoniaceae	(Bertol.) DC.	312	295	313	267	244	230	234	250
Tabernaemontana arborea	Apocynaceae	Rose ex J.D.Sm.	1297	1339	1430	1509	1510	1595	1732	1794
Tachigali panamensis	Fabaceae	van der Werff & N.Zamora	2923	2978	3094	2947	2485	2232	2084	1906
